,date,tsla_compound,tsla_sentiment
444,2017-01-26,0.3656999999999999,1
445,2017-01-27,0.4588,1
446,2017-01-30,-0.2263,-1
447,2017-01-31,0.4019,1
448,2017-02-01,0.8351999999999999,1
449,2017-02-02,0.8607,1
450,2017-02-06,0.0772,1
451,2017-02-07,-0.1027,-1
452,2017-02-08,0.7003,1
453,2017-02-09,0.2809,1
454,2017-02-10,0.23189999999999994,1
455,2017-02-13,0.6487,1
456,2017-02-14,0.4588,1
457,2017-02-15,0.34,1
458,2017-02-16,0.0,-1
459,2017-02-17,0.128,1
460,2017-02-21,0.0,-1
461,2017-02-22,0.04300000000000004,1
462,2017-02-23,0.6486,1
463,2017-02-24,0.4588,1
464,2017-02-27,-0.6760999999999998,-1
465,2017-02-28,0.2023,1
466,2017-03-01,0.25,1
467,2017-03-02,-0.2732,-1
468,2017-03-03,0.7190999999999999,1
469,2017-03-04,0.128,1
470,2017-03-06,0.0772,1
471,2017-03-07,-0.128,-1
472,2017-03-08,0.0,-1
473,2017-03-09,0.0,-1
474,2017-03-10,-0.2263,-1
475,2017-03-11,0.0,-1
476,2017-03-13,0.0,-1
477,2017-03-14,0.0,-1
478,2017-03-15,0.4653,1
479,2017-03-16,0.0,-1
480,2017-03-17,0.0,-1
481,2017-03-18,-0.29600000000000004,-1
482,2017-03-20,0.5574,1
483,2017-03-21,-0.128,-1
484,2017-03-23,-0.0772,-1
485,2017-03-24,0.0,-1
486,2017-03-25,0.3612,1
487,2017-03-27,0.25649999999999995,1
488,2017-03-28,-0.3109,-1
489,2017-03-29,0.5574,1
490,2017-03-31,0.0,-1
491,2017-04-01,0.128,1
492,2017-04-02,-0.4588,-1
493,2017-04-03,-1.289,-1
494,2017-04-04,1.8679,1
495,2017-04-05,0.0,-1
496,2017-04-06,0.0,-1
497,2017-04-07,0.0,-1
498,2017-04-09,0.0,-1
499,2017-04-10,1.4174,1
500,2017-04-11,-0.2732,-1
501,2017-04-12,1.2169,1
502,2017-04-13,0.8549000000000001,1
503,2017-04-14,0.0,-1
