,date,em_tweets3_compound,em_tweets3_sentiment
537,2016-02-10,0.6369,1
538,2016-02-11,0.32,1
539,2016-02-16,1.3974,1
540,2016-02-17,0.4019,1
541,2016-02-18,1.2986,1
542,2016-02-19,1.0269,1
543,2016-02-20,0.0,-1
544,2016-02-21,0.4682,1
545,2016-02-23,0.0,-1
546,2016-02-24,0.8402,1
547,2016-02-27,2.3476,1
548,2016-02-28,1.5316999999999998,1
549,2016-02-29,-0.4404,-1
550,2016-03-01,1.0009,1
551,2016-03-02,0.15230000000000002,1
552,2016-03-04,0.0,-1
553,2016-03-05,2.0429,1
554,2016-03-06,0.3124,1
555,2016-03-09,0.5479,1
556,2016-03-18,0.3182,1
557,2016-03-19,0.0,-1
558,2016-03-20,0.0,-1
559,2016-03-29,0.5859,1
560,2016-03-30,1.6705,1
561,2016-03-31,2.1659999999999995,1
562,2016-04-01,4.377,1
563,2016-04-02,2.2952,1
564,2016-04-03,9.4766,1
565,2016-04-04,2.9381,1
566,2016-04-05,0.0,-1
567,2016-04-06,-0.4417,-1
568,2016-04-07,-0.5691999999999999,-1
569,2016-04-08,3.0241,1
570,2016-04-09,1.6387,1
571,2016-04-10,-0.4552,-1
572,2016-04-11,1.3107,1
573,2016-04-14,0.6249,1
574,2016-04-17,0.2641,1
575,2016-04-18,0.4019,1
576,2016-04-20,1.1306,1
577,2016-04-24,0.5927,1
578,2016-04-27,0.3771,1
579,2016-04-29,-0.37799999999999995,-1
580,2016-04-30,3.7889999999999997,1
581,2016-05-01,1.8215,1
582,2016-05-02,0.9905,1
583,2016-05-05,0.9738,1
584,2016-05-06,2.2231,1
585,2016-05-07,1.6009,1
586,2016-05-10,0.0,-1
587,2016-05-12,0.7859,1
588,2016-05-14,0.893,1
589,2016-05-15,-0.0772,-1
590,2016-05-16,1.4409999999999998,1
591,2016-05-17,0.4201,1
592,2016-05-18,0.10390000000000003,1
593,2016-05-19,0.6249,1
594,2016-05-22,0.09,1
595,2016-05-25,0.8313,1
596,2016-05-26,0.4131,1
597,2016-05-27,1.1877,1
598,2016-05-28,-0.2574,-1
599,2016-05-29,0.4877,1
600,2016-05-30,0.4404,1
601,2016-06-01,0.4404,1
602,2016-06-02,0.6124,1
603,2016-06-03,1.6963,1
604,2016-06-04,0.1337,1
605,2016-06-05,1.6188,1
606,2016-06-06,0.0,-1
607,2016-06-07,0.0,-1
608,2016-06-08,0.7631,1
609,2016-06-09,-0.29600000000000004,-1
610,2016-06-10,0.5938999999999999,1
611,2016-06-11,0.29600000000000004,1
612,2016-06-12,-0.15320000000000006,-1
613,2016-06-15,1.7813,1
614,2016-06-17,0.6266,1
615,2016-06-19,0.8567,1
616,2016-06-20,1.4347,1
617,2016-06-22,-0.5994,-1
618,2016-06-27,0.8274999999999999,1
619,2016-06-28,0.8016,1
620,2016-06-29,0.6560999999999999,1
621,2016-06-30,-0.6878,-1
622,2016-07-05,-0.9502,-1
623,2016-07-06,0.9046,1
624,2016-07-08,-0.15339999999999998,-1
625,2016-07-09,0.6004,1
626,2016-07-10,0.8297,1
627,2016-07-12,0.8326,1
628,2016-07-13,0.4215,1
629,2016-07-14,-0.4742999999999999,-1
630,2016-07-15,2.2487,1
631,2016-07-16,2.9962,1
632,2016-07-17,6.6043,1
633,2016-07-18,2.4696,1
634,2016-07-19,0.0,-1
635,2016-07-20,-0.38299999999999995,-1
636,2016-07-21,1.4061,1
637,2016-07-22,0.4019,1
638,2016-07-23,0.3818,1
639,2016-07-25,0.4019,1
640,2016-07-26,0.4215,1
