,date,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target
787,2013-05-14,268.33,2700000,-1.4480151228733398,-1,0.014441798041662013,1,264.51,-0.003780575403572986,-1,1,-1,-1
788,2013-05-15,266.56,2720500,0.19096117122851347,1,-0.006596355234226414,-1,268.33,-0.46957105057205345,-1,-1,1,-1
789,2013-05-16,264.12,1643500,0.69183335839975,1,-0.00915366146458585,-1,266.56,-0.2250900360144143,-1,-1,1,-1
790,2013-05-17,269.9,2527300,-1.5310536809238962,-1,0.02188399212479175,1,264.12,0.6474329850068073,1,1,-1,1
791,2013-05-20,267.63,2209000,0.5092936802973995,1,-0.008410522415709498,-1,269.9,-0.33345683586512687,-1,-1,1,-1
792,2013-05-21,268.86,1741200,-0.0446528242911381,-1,0.004595897320928133,1,267.63,0.4147517094496184,1,1,-1,1
793,2013-05-22,262.96,3332000,1.656756049216503,1,-0.021944506434575795,-1,268.86,-0.546752956929267,-1,-1,1,-1
794,2013-05-23,261.8,2000300,-0.5028983838151185,-1,-0.004411317310617502,-1,262.96,-0.9393063583814917,-1,-1,-1,-1
795,2013-05-24,261.74,1696300,-0.7273426977102121,-1,-0.00022918258212378806,-1,261.8,-0.744843391902211,-1,-1,-1,-1
796,2013-05-28,267.29,3471000,-0.3039627739417601,-1,0.02120424849086877,1,261.74,1.8109574386796092,1,1,-1,1
797,2013-05-29,265.53,1903400,-0.026369321178329384,-1,-0.006584608477683607,-1,267.29,-0.6846496314864158,-1,-1,-1,-1
798,2013-05-30,266.83,1667500,-0.42151217492755433,-1,0.004895868640078405,1,265.53,0.06778895040108719,1,1,-1,1
799,2013-05-31,269.2,3374300,-1.2030075187969882,-1,0.008882059738410275,1,266.83,-0.3110594760709006,-1,1,-1,-1
800,2013-06-03,266.88,2543900,0.7733491969065973,1,-0.008618127786032659,-1,269.2,-0.08915304606241051,-1,-1,1,-1
801,2013-06-04,265.7,2088600,0.4868913857677945,1,-0.004421462829736211,-1,266.88,0.04496402877698012,1,-1,1,1
802,2013-06-05,267.17,3512300,-0.5116436552424716,-1,0.005532555513737325,1,265.7,0.04140007527286927,1,1,-1,1
803,2013-06-06,267.83,2476300,-0.02987861811390629,-1,0.002470337238462239,1,267.17,0.2170902421679021,1,1,-1,1
804,2013-06-07,276.87,4632600,-2.6432861273819217,-1,0.03375275361236607,1,267.83,0.7131389314117258,1,1,-1,1
805,2013-06-10,281.07,3086500,-1.5866705219025539,-1,0.01516957416838216,1,276.87,-0.06862426409506184,-1,1,-1,-1
806,2013-06-11,274.78,3097800,0.4420289855072562,1,-0.02237876685523188,-1,281.07,-1.8038211121784584,-1,-1,1,-1
807,2013-06-12,271.67,2238900,1.7823571945047023,1,-0.011318145425431081,-1,274.78,0.6623480602664132,1,-1,1,1
808,2013-06-13,275.79,2649800,-1.5801104972375766,-1,0.015165458092538664,1,271.67,-0.0625759193138793,-1,1,-1,-1
809,2013-06-14,273.99,2150800,0.367272727272724,1,-0.00652670510170783,-1,275.79,-0.28644983501940624,-1,-1,1,-1
810,2013-06-17,278.06,2884000,-0.618780531934134,-1,0.014854556735647284,1,273.99,0.8613453045731646,1,1,-1,1
811,2013-06-18,281.76,2146100,-0.9602981224021812,-1,0.013306480615694394,1,278.06,0.36682730345967846,1,1,-1,1
812,2013-06-19,278.16,2827500,1.1021830334921303,1,-0.012776831345826078,-1,281.76,-0.17745599091425326,-1,-1,1,-1
813,2013-06-20,273.44,2984000,0.6178672675728679,1,-0.01696865113603696,-1,278.16,-1.085706068449827,-1,-1,1,-1
814,2013-06-21,273.36,4201000,0.44068907746657665,1,-0.00029256875365701873,-1,273.44,0.4132533645406654,1,-1,1,1
815,2013-06-24,270.61,3863800,0.25065428139629425,1,-0.010059994146912499,-1,273.36,-0.7572431957857745,-1,-1,1,-1
816,2013-06-25,272.09,2449600,0.07712082262212132,1,0.005469125309485845,1,270.61,0.6245149846642761,1,1,1,1
817,2013-06-26,277.57,3029500,-1.3103146215052102,-1,0.020140394722334642,1,272.09,0.6946231026498745,1,1,-1,1
818,2013-06-27,277.55,2519500,0.5838527115122844,1,-7.205389631437242e-05,-1,277.57,0.5800338653312728,1,-1,1,1
819,2013-06-28,277.69,3193300,-0.5431043846627323,-1,0.0005044136191676429,1,277.55,-0.49000180147721617,-1,1,-1,-1
820,2013-07-01,282.1,2888200,-1.1111111111111194,-1,0.015881018401814995,1,277.69,0.47174907270697625,1,1,-1,1
821,2013-07-02,283.73,3238200,-0.9571591232564751,-1,0.005778092874866969,1,282.1,-0.3757532789790862,-1,1,-1,-1
822,2013-07-03,284.03,1373000,-0.7198581560283591,-1,0.0010573432488631962,1,283.73,-0.6097346068445417,-1,1,-1,-1
823,2013-07-05,285.88,1985400,-0.3087719298245598,-1,0.006513396472203725,1,284.03,0.3415132204344708,1,1,-1,1
824,2013-07-08,290.59,3046700,-1.4559039173241948,-1,0.016475444242339377,1,285.88,0.18889044354275236,1,1,-1,1
825,2013-07-09,291.53,2775600,-0.18213058419243047,-1,0.0032347981692417704,1,290.59,0.14109226057332497,1,1,-1,1
826,2013-07-10,292.33,1810200,-0.3157063930544453,-1,0.0027441429698487063,1,291.53,-0.041162144547713005,-1,1,-1,-1
827,2013-07-11,299.66,4007300,-1.583104512017362,-1,0.02507440221667312,1,292.33,0.9099305579311139,1,1,-1,1
828,2013-07-12,307.55,4539300,-2.966286116040046,-1,0.02632984048588405,1,299.66,-0.32370019355270213,-1,1,-1,-1
829,2013-07-15,306.57,2245600,0.22781267289354268,1,-0.0031864737441067437,-1,307.55,-0.09104210697448531,-1,-1,1,-1
830,2013-07-16,306.87,2660200,0.13992840872112164,1,0.0009785693316370914,1,306.57,0.23811853736504493,1,1,1,1
831,2013-07-17,308.69,2029700,-0.5603153402612536,-1,0.005930850197151782,1,306.87,0.03258708899534746,1,1,-1,1
832,2013-07-18,304.11,3063800,0.705260064648829,1,-0.014836891379701234,-1,308.69,-0.7839580161326949,-1,-1,1,-1
833,2013-07-19,305.23,2973100,-0.2759617595847537,-1,0.0036828779060209538,1,304.11,0.09207194765051221,1,1,-1,1
834,2013-07-22,303.48,2520700,1.8658043654001557,1,-0.005733381384529723,-1,305.23,1.3170396094748162,1,-1,1,1
835,2013-07-23,301.06,1999600,0.6927035228922096,1,-0.007974166337155753,-1,303.48,-0.10544352181362632,-1,-1,1,-1
836,2013-07-24,298.94,2000500,1.3464457791564861,1,-0.007041785690560021,-1,301.06,0.6510330166744103,1,-1,1,1
837,2013-07-25,303.4,5405800,-1.4715719063545074,-1,0.014919381815748922,1,298.94,0.02007091724091867,1,1,-1,1
838,2013-07-26,312.01,8817500,-4.159572692371884,-1,0.02837837837837842,1,303.4,-1.2689518787079652,-1,1,-1,-1
839,2013-07-29,306.1,3211800,1.597711126113084,1,-0.01894170058651956,-1,312.01,-0.30127239511554044,-1,-1,1,-1
840,2013-07-30,302.41,3053400,1.7255946964773177,1,-0.01205488402482846,-1,306.1,0.5292388108461302,1,-1,1,1
841,2013-07-31,301.22,1891300,0.8851304662564566,1,-0.003935055057703085,-1,302.41,0.49601534340795606,1,-1,1,1
842,2013-08-01,305.57,2971700,-0.8215652632968223,-1,0.014441272159883,1,301.22,0.6174888785605062,1,1,-1,1
