,date,cloudera_close,cloudera_vol,cloudera_intra_perc_change,cloudera_intra_returns,cloudera_pct_change,cloudera_pct_returns,cloudera_previous_close,cloudera_opening_change,cloudera_opening_returns,cloudera_target,cloudera_intra_target,cloudera_open_target
193,2018-02-02,18.12,1001300,2.7896995708154484,1,-0.034629728289824135,-1,18.77,-0.6925945657964785,-1,-1,1,-1
194,2018-02-05,17.11,1385500,4.573340769659789,1,-0.05573951434878599,-1,18.12,-1.0485651214128104,-1,-1,1,-1
195,2018-02-06,17.71,1381900,-5.416666666666668,-1,0.035067212156633554,1,17.11,-1.8118059614260593,-1,1,-1,-1
196,2018-02-07,17.88,992100,-0.959909655561819,-1,0.00959909655561808,1,17.71,0.0,-1,1,-1,-1
197,2018-02-08,17.51,1223100,2.830188679245272,1,-0.020693512304250428,-1,17.88,0.7829977628635378,1,-1,1,1
198,2018-02-09,17.15,1060100,2.8328611898017,1,-0.020559680182752893,-1,17.51,0.7995431182181439,1,-1,1,1
199,2018-02-12,17.69,674000,-2.5507246376811668,-1,0.03148688046647252,1,17.15,0.5830903790087547,1,1,-1,1
200,2018-02-13,17.66,471000,-2.080924855491326,-1,-0.0016958733747880483,-1,17.69,-2.2046353872244238,-1,-1,-1,-1
201,2018-02-14,18.1,613800,-3.075170842824617,-1,0.02491506228765572,1,17.66,-0.5662514156285471,-1,1,-1,-1
202,2018-02-15,17.98,769200,1.4254385964912173,1,-0.006629834254143652,-1,18.1,0.7734806629834089,1,-1,1,1
203,2018-02-16,17.82,625200,0.7795100222717181,1,-0.008898776418242549,-1,17.98,-0.11123470522802878,-1,-1,1,-1
204,2018-02-20,18.32,1063900,-2.9792017987633566,-1,0.02805836139169471,1,17.82,-0.16835016835017472,-1,1,-1,-1
205,2018-02-21,18.45,830700,-0.654664484451724,-1,0.007096069868995469,1,18.32,0.05458515283841709,1,1,-1,1
206,2018-02-22,18.61,796500,-0.2693965517241418,-1,0.008672086720867167,1,18.45,0.5962059620596175,1,1,-1,1
207,2018-02-23,18.44,355700,1.705756929637528,1,-0.009134873723804282,-1,18.61,0.8060182697474592,1,-1,1,1
208,2018-02-26,18.91,673800,-2.548806941431664,-1,0.025488069414316694,1,18.44,0.0,-1,1,-1,-1
209,2018-02-27,19.1,838400,-0.7915567282322014,-1,0.01004759386567966,1,18.91,0.21152829190903832,1,1,-1,1
210,2018-02-28,19.05,681200,0.5741127348642977,1,-0.002617801047120505,-1,19.1,0.31413612565444354,1,-1,1,1
211,2018-03-01,18.42,924700,3.4591194968553287,1,-0.03307086614173227,-1,19.05,0.15748031496061723,1,-1,1,1
212,2018-03-02,18.71,908500,-2.745744096650192,-1,0.01574375678610207,1,18.42,-1.140065146579809,-1,1,-1,-1
213,2018-03-05,19.23,984100,-3.276047261009664,-1,0.027792624265098764,1,18.71,-0.4810261892036336,-1,1,-1,-1
214,2018-03-06,19.6,942600,-1.6597510373443998,-1,0.01924076963078525,1,19.23,0.2600104004160203,1,1,-1,1
215,2018-03-07,19.72,930100,-1.5447991761070912,-1,0.006122448979591688,1,19.6,-0.9183673469387741,-1,1,-1,-1
216,2018-03-08,19.98,347200,-1.1133603238866339,-1,0.013184584178498993,1,19.72,0.2028397565923058,1,1,-1,1
217,2018-03-09,19.96,785600,0.6470881035340916,1,-0.0010010010010009784,-1,19.98,0.5505505505505477,1,-1,1,1
218,2018-03-12,20.23,1212600,-1.1500000000000021,-1,0.013527054108216419,1,19.96,0.20040080160320214,1,1,-1,1
219,2018-03-13,20.14,824700,0.9345794392523252,1,-0.004448838358872997,-1,20.23,0.4943153732080962,1,-1,1,1
220,2018-03-14,20.34,535300,-0.8428358948933968,-1,0.009930486593842991,1,20.14,0.1489572989076521,1,1,-1,1
221,2018-03-15,19.82,1289600,2.1234567901234556,1,-0.025565388397246758,-1,20.34,-0.442477876106194,-1,-1,1,-1
