,date,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target
2149,2019-01-11,347.26001,5039100,-1.5113023065427607,-1,0.0066382844692634,1,344.97000099999997,-0.8348566517817249,-1,1,0,-1
2150,2019-01-14,334.399994,5247300,2.330746796969055,1,-0.03703281584309126,-1,347.26001,-1.4052885041384522,-1,-1,1,-1
2151,2019-01-15,344.429993,6056600,-2.8149232835820968,-1,0.029994016686495595,1,334.399994,0.179427634798345,1,1,0,1
2152,2019-01-16,346.049988,4691700,-0.3683476430429343,-1,0.00470340862562435,1,344.429993,0.10161890866455627,1,1,0,1
2153,2019-01-17,347.309998,3676700,-0.31772826567561563,-1,0.003641121351519949,1,346.049988,0.046236961580249335,1,1,0,1
2154,2019-01-18,302.26001,24150800,6.421049535603708,1,-0.12971117520204523,-1,347.309998,-6.999509988192165,-1,-1,1,-1
2155,2019-01-22,298.920013,12066700,1.9355665194246887,1,-0.011050079036257654,-1,302.26001,0.8469519338664591,1,-1,1,1
2156,2019-01-23,287.589996,12530000,1.6786338461538515,1,-0.03790317311407321,-1,298.920013,-2.147736090189446,-1,-1,1,-1
2157,2019-01-24,291.51001,8012200,-2.9961527152462692,-1,0.01363056453465794,1,287.589996,-1.5855895766276769,-1,1,0,-1
2158,2019-01-25,297.040009,7249600,-0.9001643618925024,-1,0.018970185620726943,1,291.51001,0.9879609279969435,1,1,0,1
2159,2019-01-28,296.380005,6423300,-1.1846645565577774,-1,-0.0022219363722144614,-1,297.040009,-1.3903867744630936,-1,-1,0,-1
2160,2019-01-29,297.459991,4621700,-0.7416947477178226,-1,0.0036439232801821486,1,296.380005,-0.37452459048307707,-1,1,0,-1
2161,2019-01-30,308.769989,11250300,-2.769171798202489,-1,0.03802191334027172,1,297.459991,1.0051842568636442,1,1,0,1
2162,2019-01-31,307.019989,12569200,-1.9999963455149534,-1,-0.005667649261081542,-1,308.769989,-2.5164327093978067,-1,-1,0,-1
2163,2019-02-01,312.209991,7283400,-2.223160798568894,-1,0.016904443312972584,1,307.019989,-0.5211308896242669,-1,1,0,-1
2164,2019-02-04,312.890015,7352100,0.02875455199596919,1,0.00217809813780101,1,312.209991,0.24663528464724505,1,1,1,1
