,close,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment,lag_1_tsla_close,lag_1_tsla_sentiment,lag_1_em_tweets3_sentiment,lag_2_tsla_close,lag_2_tsla_sentiment,lag_2_em_tweets3_sentiment,lag_3_close,lag_3_tsla_sentiment,lag_3_em_tweets3_sentiment
2015-12-11,217.87,0.0,-1.0,0.0,0.0,218.79,1.0,1.0,229.36,-1.0,-1.0,235.52,1.0,1.0
2015-12-12,214.96,0.0,-1.0,0.0,0.0,217.87,-1.0,0.0,218.79,1.0,1.0,229.36,-1.0,-1.0
2015-12-13,217.7,0.0,0.0,1.7813,1.0,214.96,-1.0,0.0,217.87,-1.0,0.0,218.79,1.0,1.0
2015-12-14,217.93,0.0,-1.0,0.0,0.0,217.7,0.0,1.0,214.96,-1.0,0.0,217.87,-1.0,0.0
2015-12-15,215.47,0.3182,1.0,0.6266,1.0,217.93,-1.0,0.0,217.7,0.0,1.0,214.96,-1.0,0.0
2015-12-16,219.7,1.0955,1.0,1.4347,1.0,215.47,1.0,1.0,217.93,-1.0,0.0,217.7,0.0,1.0
2015-12-17,219.61,-0.3639,-1.0,0.0,0.0,219.7,1.0,1.0,215.47,1.0,1.0,217.93,-1.0,0.0
2015-12-18,196.66,-1.3948999999999998,-1.0,-0.5994,-1.0,219.61,-1.0,0.0,219.7,1.0,1.0,215.47,1.0,1.0
2015-12-19,196.4,-0.2599,-1.0,0.0,0.0,196.66,-1.0,-1.0,219.61,-1.0,0.0,219.7,1.0,1.0
2015-12-20,193.15,-0.1628,-1.0,0.0,0.0,196.4,-1.0,0.0,196.66,-1.0,-1.0,219.61,-1.0,0.0
2015-12-21,198.55,0.6634,1.0,0.8274999999999999,1.0,193.15,-1.0,0.0,196.4,-1.0,0.0,196.66,-1.0,-1.0
2015-12-22,201.79,1.4051999999999998,1.0,0.8016,1.0,198.55,1.0,1.0,193.15,-1.0,0.0,196.4,-1.0,0.0
2015-12-23,210.19,1.3177,1.0,0.6560999999999999,1.0,201.79,1.0,1.0,198.55,1.0,1.0,193.15,-1.0,0.0
2015-12-24,212.28,-2.958,-1.0,-0.6878,-1.0,210.19,1.0,1.0,201.79,1.0,1.0,198.55,1.0,1.0
2015-12-25,216.5,0.5489999999999999,1.0,0.0,0.0,212.28,-1.0,-1.0,210.19,1.0,1.0,201.79,1.0,1.0
2015-12-26,213.98,-1.9674,-1.0,-0.9502,-1.0,216.5,1.0,0.0,212.28,-1.0,-1.0,210.19,1.0,1.0
2015-12-27,214.44,-2.7688,-1.0,0.9046,1.0,213.98,-1.0,-1.0,216.5,1.0,0.0,212.28,-1.0,-1.0
2015-12-28,215.94,-0.4019,-1.0,0.0,0.0,214.44,-1.0,1.0,213.98,-1.0,-1.0,216.5,1.0,0.0
2015-12-29,216.78,-0.45899999999999996,-1.0,-0.15339999999999998,-1.0,215.94,-1.0,0.0,214.44,-1.0,1.0,213.98,-1.0,-1.0
2015-12-30,224.78,0.2993000000000001,1.0,0.0,0.0,216.78,-1.0,-1.0,215.94,-1.0,0.0,214.44,-1.0,1.0
2015-12-31,224.65,-0.29600000000000004,-1.0,0.8326,1.0,224.78,1.0,0.0,216.78,-1.0,-1.0,215.94,-1.0,0.0
2016-01-01,222.53,-1.3634,-1.0,0.4215,1.0,224.65,-1.0,1.0,224.78,1.0,0.0,216.78,-1.0,-1.0
2016-01-02,221.53,-0.7218,-1.0,-0.4742999999999999,-1.0,222.53,-1.0,1.0,224.65,-1.0,1.0,224.78,1.0,0.0
2016-01-03,220.4,-1.0311,-1.0,1.7696,1.0,221.53,-1.0,-1.0,222.53,-1.0,1.0,224.65,-1.0,1.0
2016-01-04,226.25,0.4404,1.0,2.4696,1.0,220.4,-1.0,1.0,221.53,-1.0,-1.0,222.53,-1.0,1.0
2016-01-05,225.26,0.0,-1.0,0.0,-1.0,226.25,1.0,1.0,220.4,-1.0,1.0,221.53,-1.0,-1.0
2016-01-06,228.36,0.8494,1.0,-0.38299999999999995,-1.0,225.26,-1.0,-1.0,226.25,1.0,1.0,220.4,-1.0,1.0
2016-01-07,220.5,0.7769999999999999,1.0,1.4061,1.0,228.36,1.0,-1.0,225.26,-1.0,-1.0,226.25,1.0,1.0
2016-01-08,222.27,-0.6705,-1.0,0.4019,1.0,220.5,1.0,1.0,228.36,1.0,-1.0,225.26,-1.0,-1.0
2016-01-09,230.01,1.227,1.0,0.4019,1.0,222.27,-1.0,1.0,220.5,1.0,1.0,228.36,1.0,-1.0
2016-01-10,229.51,-0.8805,-1.0,0.4215,1.0,230.01,1.0,1.0,222.27,-1.0,1.0,220.5,1.0,1.0
2016-01-11,228.49,0.5431,1.0,1.2318,1.0,229.51,-1.0,1.0,230.01,1.0,1.0,222.27,-1.0,1.0
2016-01-12,230.61,0.0,0.0,0.4404,1.0,228.49,1.0,1.0,229.51,-1.0,1.0,230.01,1.0,1.0
2016-01-13,234.79,0.0,-1.0,0.8736999999999999,1.0,230.61,0.0,1.0,228.49,1.0,1.0,229.51,-1.0,1.0
2016-01-14,230.01,0.32309999999999994,1.0,0.2235,1.0,234.79,-1.0,1.0,230.61,0.0,1.0,228.49,1.0,1.0
2016-01-15,227.2,0.0,-1.0,0.0,0.0,230.01,1.0,1.0,234.79,-1.0,1.0,230.61,0.0,1.0
2016-01-16,225.79,-0.4404,-1.0,0.0,0.0,227.2,-1.0,0.0,230.01,1.0,1.0,234.79,-1.0,1.0
2016-01-17,230.61,0.044999999999999984,1.0,0.0,0.0,225.79,-1.0,0.0,227.2,-1.0,0.0,230.01,1.0,1.0
2016-01-18,230.03,0.0,-1.0,0.0,0.0,230.61,1.0,0.0,225.79,-1.0,0.0,227.2,-1.0,0.0
2016-01-19,226.16,0.8009,1.0,0.0,0.0,230.03,-1.0,0.0,230.61,1.0,0.0,225.79,-1.0,0.0
2016-01-20,229.08,-0.17659999999999998,-1.0,2.0313,1.0,226.16,1.0,0.0,230.03,-1.0,0.0,230.61,1.0,0.0
2016-01-21,225.65,-0.4019,-1.0,0.0,-1.0,229.08,-1.0,1.0,226.16,1.0,0.0,230.03,-1.0,0.0
2016-01-22,224.91,0.2023,1.0,0.8805,1.0,225.65,-1.0,-1.0,229.08,-1.0,1.0,226.16,1.0,0.0
2016-01-23,225.61,0.0,0.0,0.0,0.0,224.91,1.0,1.0,225.65,-1.0,-1.0,229.08,-1.0,1.0
2016-01-24,225.59,-0.1059,-1.0,0.0,-1.0,225.61,0.0,0.0,224.91,1.0,1.0,225.65,-1.0,-1.0
2016-01-25,223.61,-0.6947,-1.0,0.0,0.0,225.59,-1.0,-1.0,225.61,0.0,0.0,224.91,1.0,1.0
2016-01-26,223.24,0.0,-1.0,0.0,0.0,223.61,-1.0,0.0,225.59,-1.0,-1.0,225.61,0.0,0.0
