,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target
1223,2017-03-30,142.41,12404000,-0.007022471910105973,-1,-0.0016824395373291612,-1,142.65,-0.1752541184717841,-1,-1,-1,-1
1224,2017-03-31,142.05,11478300,0.18269974000420974,1,-0.0025279123657045988,-1,142.41,-0.07021978793623644,-1,-1,1,-1
1225,2017-04-03,142.28,13564000,-0.24660043683505553,-1,0.001619148187257835,1,142.05,-0.08447729672650794,-1,1,-1,-1
1226,2017-04-04,141.73,12948600,0.09163964472016345,1,-0.003865617093055995,-1,142.28,-0.29519257801517257,-1,-1,1,-1
1227,2017-04-05,141.85,17158100,0.2882046956277215,1,0.0008466803076272456,1,141.73,0.37395046920200464,1,1,1,1
1228,2017-04-06,141.17,15103400,0.6614594328337388,1,-0.004793796263658834,-1,141.85,0.1832922100810852,1,-1,1,1
1229,2017-04-07,140.78,11818300,0.2974504249291696,1,-0.002762626620386621,-1,141.17,0.021250974002975945,1,-1,1,1
1230,2017-04-10,141.04,9039400,-0.028368794326235493,-1,0.001846853246199709,1,140.78,0.15627219775536216,1,1,-1,1
1231,2017-04-11,139.92,16638100,0.625000000000017,1,-0.00794100964265465,-1,141.04,-0.17016449234258413,-1,-1,1,-1
1232,2017-04-12,139.58,11612500,0.10020040080159344,1,-0.002429959977129581,-1,139.92,-0.1429388221840971,-1,-1,1,-1
1233,2017-04-13,139.39,10965600,0.16473284629710513,1,-0.0013612265367533016,-1,139.58,0.028657400773744117,1,-1,1,1
1234,2017-04-17,141.42,11519700,-1.1877504293073817,-1,0.014563455054164676,1,139.39,0.2654422842384709,1,1,-1,1
1235,2017-04-18,140.96,14807500,0.21943795568769184,1,-0.00325272238721519,-1,141.42,-0.10606703436570307,-1,-1,1,-1
1236,2017-04-19,142.27,15563900,-0.6508666430845532,-1,0.009293416572077273,1,140.96,0.27667423382518896,1,1,-1,1
1237,2017-04-20,143.8,15968200,-0.5946135012242202,-1,0.01075419976101788,1,142.27,0.4779644338229974,1,1,-1,1
1238,2017-04-21,143.68,12382000,0.1528839471855447,1,-0.0008344923504868262,-1,143.8,0.06954102920722831,1,-1,1,1
