,date,msft_close,msft_vol,msft_intra_perc_change,msft_intra_returns,msft_pct_change,msft_pct_returns,msft_previous_close,msft_opening_change,msft_opening_returns,msft_target,msft_intra_target,msft_open_target
1428,2015-11-27,53.93,9009100,-0.24163568773234678,-1,0.004470106165021415,1,53.69,0.204879865896814,1,1,-1,1
1429,2015-11-30,54.35,56241400,0.3483681701503442,1,0.00778787316892271,1,53.93,1.1310958650101974,1,1,1,1
1430,2015-12-01,55.22,39952800,-1.4886969307112707,-1,0.016007359705611623,1,54.35,0.11039558417662405,1,1,-1,1
1431,2015-12-02,55.21,47274900,0.19884309472161862,1,-0.0001810938065918144,-1,55.22,0.18109380659181712,1,-1,1,1
1432,2015-12-03,54.2,38627800,2.3247431969724257,1,-0.018293787357362756,-1,55.21,0.5071545009961984,1,-1,1,1
1433,2015-12-04,55.91,43963700,-3.307464892830745,-1,0.03154981549815483,1,54.2,-0.14760147601477008,-1,1,-1,-1
1434,2015-12-07,55.81,30709800,-0.03584871840832251,-1,-0.0017885888034340214,-1,55.91,-0.2146306564120863,-1,-1,-1,-1
1435,2015-12-08,55.79,32878000,-0.5768884081485492,-1,-0.0003583587170759017,-1,55.81,-0.609209819028854,-1,-1,-1,-1
1436,2015-12-09,54.98,36373200,0.7043525374751681,1,-0.014518730955368375,-1,55.79,-0.752823086574658,-1,-1,1,-1
1437,2015-12-10,55.27,31775800,0.21664560389961623,1,0.00527464532557298,1,54.98,0.7457257184430769,1,1,1,1
1438,2015-12-11,54.06,39549500,1.1880826174373946,1,-0.02189252759182203,-1,55.27,-1.0132078885471363,-1,-1,1,-1
1439,2015-12-14,55.14,46768900,-1.4908890115958076,-1,0.019977802441731418,1,54.06,0.4994450610432778,1,1,-1,1
1440,2015-12-15,55.2,39843000,0.8264462809917242,1,0.0010881392818280489,1,55.14,0.9430540442509903,1,1,1,1
1441,2015-12-16,56.13,37503300,-1.062297443284126,-1,0.016847826086956452,1,55.2,0.6159420289855005,1,1,-1,1
1442,2015-12-17,55.7,41280900,1.171043293115679,1,-0.007660787457687501,-1,56.13,0.40976305006234964,1,-1,1,1
1443,2015-12-18,54.13,84684200,2.940649094495249,1,-0.02818671454219035,-1,55.7,0.12567324955116746,1,-1,1,1
1444,2015-12-21,54.83,37246300,0.09110787172012438,1,0.01293183077775728,1,54.13,1.3855532976168483,1,1,1,1
1445,2015-12-22,55.35,28322200,-0.6546644844517174,-1,0.009483859201167233,1,54.83,0.29181105234361426,1,1,-1,1
1446,2015-12-23,55.82,27279800,-0.21543985637342447,-1,0.008491418247515758,1,55.35,0.6323396567299032,1,1,-1,1
1447,2015-12-24,55.67,9558500,0.34013605442176464,1,-0.002687208885704062,-1,55.82,0.07165890361877311,1,-1,1,1
1448,2015-12-28,55.95,22458300,-1.0840108401084037,-1,0.005029638943775838,1,55.67,-0.5748158792886658,-1,1,-1,-1
1449,2015-12-29,56.55,27731400,-0.46189376443417657,-1,0.01072386058981234,1,55.95,0.6076854334226922,1,1,-1,1
1450,2015-12-30,56.31,21704500,0.28333628475296013,1,-0.0042440318302385815,-1,56.55,-0.1414677276746212,-1,-1,1,-1
1451,2015-12-31,55.48,27334100,0.9992862241256286,1,-0.014739833066950925,-1,56.31,-0.4794885455514174,-1,-1,1,-1
1452,2016-01-04,54.8,53778000,-0.8836524300441769,-1,-0.012256669069935056,-1,55.48,-2.090843547224219,-1,-1,-1,-1
1453,2016-01-05,55.05,34079700,-0.21845985800108764,-1,0.0045620437956204185,1,54.8,0.23722627737226745,1,1,-1,1
1454,2016-01-06,54.05,39518900,0.4970544918998585,1,-0.01816530426884655,-1,55.05,-1.3260672116257892,-1,-1,1,-1
1455,2016-01-07,52.17,56564900,1.0056925996204955,1,-0.034782608695652084,-1,54.05,-2.497687326549481,-1,-1,1,-1
1456,2016-01-08,52.33,48754000,0.07637960664502415,1,0.003066896683917797,1,52.17,0.3833620854897369,1,1,1,1
1457,2016-01-11,52.3,36943800,0.39992382403351906,1,-0.000573284922606554,-1,52.33,0.34397095356392077,1,-1,1,1
1458,2016-01-12,52.78,36095500,-0.03790750568613178,-1,0.009177820267686432,1,52.3,0.8795411089866173,1,1,-1,1
