,date,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
82,2016-09-01,0.4588,1,0.0,-1,-1.6615,1.112,3.701,0.188,-1,-0.4882,-1,-0.6348,-1
83,2016-09-13,-0.3818,-1,1.5917,1,-1.4859,0.9670000000000001,3.756,0.27699999999999997,-1,-0.22120000000000006,-1,-0.16410000000000002,-1
84,2016-09-19,1.7302,1,0.1779,1,1.3763999999999998,0.0,5.125,0.875,1,-0.3188,-1,0.7845,1
85,2016-09-21,-0.3308,-1,0.8255999999999999,1,-0.3561,0.214,1.527,0.259,-1,0.0,-1,0.6681,1
86,2016-09-23,1.7984,1,0.4662,1,0.5894999999999999,0.617,8.459999999999999,0.922,1,0.0,-1,0.4404,1
87,2016-09-27,1.7616,1,2.0759,1,-0.13050000000000006,0.368,6.3580000000000005,0.27399999999999997,-1,0.0,-1,0.925,1
88,2016-09-28,-1.5373,-1,1.8919,1,-2.0624,1.5319999999999998,5.928,0.54,-1,-0.4404,-1,0.8514,1
89,2016-10-04,0.902,1,0.6606,1,-0.3816,0.37799999999999995,1.4420000000000002,0.18,-1,0.2732,1,1.0812,1
90,2016-10-05,0.8612,1,2.0108,1,0.0,0.214,2.572,0.214,-1,0.0,-1,0.9109,1
91,2016-10-06,0.9813999999999998,1,0.9640000000000001,1,0.7787000000000003,0.504,5.683,0.8130000000000001,1,0.1027,1,0.0,-1
92,2016-10-13,0.0,-1,2.8669999999999995,1,0.4703,0.0,1.867,0.133,1,0.0,-1,-0.4767,-1
93,2016-10-18,0.0,-1,0.5719,1,-0.7632,0.809,2.8310000000000004,0.36,-1,0.3251,1,0.0,-1
94,2016-10-19,0.68,1,1.2767,1,-1.8352,0.78,6.2200000000000015,0.0,-1,0.6369,1,-0.4019,-1
95,2016-10-24,0.8167,1,1.0307,1,0.1779,0.0,0.7020000000000001,0.298,1,0.0516,1,0.743,1
96,2016-10-26,-1.0318,-1,0.3341,1,0.1779,0.0,0.825,0.175,1,0.6829,1,0.7783,1
97,2016-10-27,0.2023,1,1.7529,1,-0.4588,0.273,1.727,0.0,-1,2.1196,1,0.9176,1
98,2016-11-02,-0.4588,-1,0.7353000000000001,1,0.6405,0.25,8.950000000000003,0.8,1,0.0,-1,0.4019,1
99,2016-11-03,-1.7199000000000002,-1,-1.5417999999999998,-1,-1.4563,1.548,13.727,0.7250000000000001,-1,-0.4588,-1,1.351,1
100,2016-11-04,0.0,-1,1.4127,1,-0.655,0.385,1.615,0.0,-1,0.8254999999999999,1,6.1076,1
101,2016-11-07,0.4588,1,0.4019,1,0.5719,0.113,2.542,0.345,1,0.7365000000000002,1,0.8266,1
102,2016-11-15,2.7575000000000003,1,3.8534000000000006,1,2.6835,0.22,4.0,1.78,1,1.1288,1,0.6696,1
103,2016-11-16,-0.3308,-1,2.1227,1,-0.25060000000000004,0.532,3.978,0.49,-1,-0.4939,-1,2.9922,1
104,2016-11-18,0.6794,1,1.0297999999999998,1,0.29600000000000004,0.0,1.732,0.268,1,0.1975,1,0.0,-1
105,2016-11-23,0.2809,1,-1.4247999999999998,-1,-5.7865,2.682,12.159,0.159,-1,0.9997,1,0.4019,1
106,2016-12-01,-0.7724,-1,1.1173,1,0.3707,0.64,4.678,0.6819999999999999,1,-1.3763999999999998,-1,0.0,-1
107,2016-12-07,-0.1856,-1,0.6739999999999999,1,-2.7528,1.194,5.806,0.0,-1,0.07700000000000001,1,0.7499,1
108,2016-12-08,1.6826,1,1.7864,1,-0.2023,0.33,1.426,0.245,-1,0.3818,1,0.2732,1
109,2016-12-11,0.0,-1,0.0,-1,0.0,0.0,1.0,0.0,-1,-0.2732,-1,0.4588,1
110,2016-12-21,-0.29600000000000004,-1,0.6588999999999999,1,-1.8352,0.804,4.196000000000001,0.0,-1,0.8126,1,0.0,-1
111,2016-12-22,0.5615,1,1.0965,1,-0.4588,0.214,1.786,0.0,-1,0.6444,1,1.1212,1
112,2016-12-30,0.0,-1,0.1779,1,-0.4588,0.2,0.8,0.0,-1,-0.9051,-1,0.0,-1
113,2017-01-05,0.3308,1,0.7507999999999999,1,-0.4588,0.214,0.7859999999999999,0.0,-1,0.2997000000000001,1,0.1531,1
114,2017-01-10,-0.4115,-1,2.0072,1,0.6945,0.326,4.975,0.6990000000000001,1,-0.2263,-1,0.34,1
