,date,open,high,low,close,volume,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
746,2017-10-30,319.18,323.78,317.25,320.08,4254400,-0.2819706810382668,-1,-0.002462081255057869,-1,320.869995,-0.5266936847741069,-1,-1,-1,-1,-0.05570000000000008,-1.0,0.0,0.0
747,2017-10-31,320.23,331.95,320.18,331.53,5672300,-3.5287098684826392,-1,0.035772345866784905,1,320.079987,0.046870784208065314,1,1,-1,1,0.7351,1.0,0.0,0.0
748,2017-11-01,332.25,332.61,320.26,321.08,8457300,3.3619301730624485,1,-0.03152056233680388,-1,331.5299990000001,0.21717521858405572,1,-1,1,1,0.8208,1.0,0.0,0.0
749,2017-11-02,300.13,308.69,292.63,299.26,19791400,0.2898727169914119,1,-0.06795807239147544,-1,321.079987,-6.5248482771366385,-1,-1,1,-1,-1.2629,-1.0,0.0,0.0
750,2017-11-03,299.5,306.25,295.13,306.09,8894000,-2.2003325542570904,-1,0.02282291576478923,1,299.26001,0.08019447703686752,1,1,-1,1,0.454,1.0,0.0,0.0
751,2017-11-06,307.0,307.5,299.01,302.78,6486000,1.37459315960911,1,-0.010813803271113587,-1,306.089996,0.2972994909640937,1,-1,1,1,0.0,0.0,0.0,0.0
752,2017-11-07,301.02,306.5,300.03,306.05,5294300,-1.6709850454482529,-1,0.01079988444018709,1,302.7799990000001,-0.5812834420413691,-1,1,-1,-1,1.087,1.0,0.0,-1.0
753,2017-11-08,305.5,306.89,301.3,304.39,4725300,0.36333387888706864,1,-0.005423862326699336,-1,306.049988,-0.17970528396164645,-1,-1,1,-1,0.06680000000000003,1.0,0.0,-1.0
754,2017-11-09,302.5,304.46,296.3,302.99,5447100,-0.16198016528924875,-1,-0.0045994445645664035,-1,304.390015,-0.6209188563560487,-1,-1,-1,-1,1.2787000000000002,1.0,-0.2263,-1.0
755,2017-11-10,302.5,308.36,301.85,302.99,4625400,-0.16198016528924875,-1,0.0,-1,302.98999,-0.1617182138591369,-1,-1,-1,-1,0.4588,1.0,0.3182,1.0
756,2017-11-13,300.13,316.8,299.11,315.4,7584900,-5.087791538869968,-1,0.04095846202707887,1,302.98999,-0.9439206225921836,-1,1,-1,-1,-0.2263,-1.0,0.6249,1.0
757,2017-11-14,315.0,316.35,306.9,308.7,5676100,1.9999961904761856,1,-0.021242809535373608,-1,315.399994,-0.12682118186723632,-1,-1,1,-1,-1.1107,-1.0,0.0,0.0
758,2017-11-15,306.01,312.49,301.5,311.3,5978700,-1.7286944306168162,-1,0.008422338512898975,1,308.700012,-0.8713967915232839,-1,1,-1,-1,0.0,-1.0,-0.9605,-1.0
759,2017-11-16,313.99,318.14,311.3,312.5,5822100,0.4745342359480879,1,0.0038548411379959453,1,311.299988,0.8641188897186828,1,1,1,1,-0.128,-1.0,0.0,0.0
760,2017-11-17,325.67,326.67,313.15,315.05,13735100,3.2609772395593573,1,0.008159961599999876,1,312.5,4.214404159999996,1,1,1,1,1.9621,1.0,0.0,-1.0
761,2017-11-20,313.79,315.5,304.75,308.74,8247700,1.6093625848998971,1,-0.02002856130881681,-1,315.049988,-0.39992986763738175,-1,-1,1,-1,-0.2771,-1.0,0.4404,1.0
762,2017-11-21,310.86,318.23,308.71,317.81,7261300,-2.2357374172812925,-1,0.029377496578917525,1,308.73999,0.6866603189305076,1,1,-1,1,0.8732,1.0,0.8073,1.0
763,2017-11-22,316.77,317.42,311.84,312.6,4917600,1.3164072181092894,1,-0.016393417553842937,-1,317.809998,-0.3272423795805183,-1,-1,1,-1,-0.29600000000000004,-1.0,0.0,0.0
764,2017-11-24,313.79,316.41,311.0,315.55,3244100,-0.5608779596293606,-1,0.009436922403641912,1,312.600006,0.3806791353676398,1,1,-1,1,-0.2732,-1.0,0.0,-1.0
765,2017-11-27,313.25,317.34,309.51,316.81,4555900,-1.1364718276137296,-1,0.003993059888818706,1,315.549988,-0.7288822967725751,-1,1,-1,-1,0.0,-1.0,0.7351,1.0
766,2017-11-28,316.36,320.0,313.92,317.55,4949500,-0.3761547150155511,-1,0.0023357533053611768,1,316.809998,-0.1420450752314997,-1,1,-1,-1,1.0678999999999998,1.0,-0.3146,-1.0
767,2017-11-29,317.3,318.0,301.23,307.54,8767400,3.0759468544322766,1,-0.03152252992684723,-1,317.549988,-0.0787277623830362,-1,-1,1,-1,-0.39459999999999984,-1.0,0.0,0.0
768,2017-11-30,308.56,310.7,304.54,308.85,4351600,-0.09398755570383438,-1,0.00425959862672709,1,307.540009,0.3316605872896393,1,1,-1,1,0.0,0.0,0.5513,1.0
769,2017-12-01,305.44,310.32,305.05,306.53,4292900,-0.3568612470085171,-1,-0.007511759607995549,-1,308.850006,-1.1040971130821395,-1,-1,-1,-1,0.21050000000000008,1.0,0.0,0.0
770,2017-12-04,306.5,308.27,300.61,305.2,5835100,0.4241396411092935,1,-0.004338847761520492,-1,306.5299990000001,-0.009786644079828571,-1,-1,1,-1,0.6124,1.0,0.0,0.0
771,2017-12-05,302.0,308.0,301.0,303.7,4646500,-0.5629178807947071,-1,-0.004914809767438633,-1,305.200012,-1.0484966822347357,-1,-1,-1,-1,0.0,0.0,0.0,0.0
772,2017-12-06,300.1,313.39,300.0,313.26,7195300,-4.38520617690358,-1,0.031478424834570085,1,303.700012,-1.1853822383121957,-1,1,-1,-1,0.4019,1.0,0.0,0.0
773,2017-12-07,312.0,318.63,311.05,311.24,4780600,0.2435929487179559,1,-0.006448381330256714,-1,313.26001,-0.402224975987207,-1,-1,1,-1,0.8126,1.0,0.0,-1.0
774,2017-12-08,314.6,316.98,311.26,315.13,3468500,-0.16846757466367476,-1,0.012498442118572315,1,311.23999,1.0795579321282045,1,1,-1,1,0.0,-1.0,0.4019,1.0
775,2017-12-11,314.63,329.01,313.75,328.91,7938000,-4.5386640730594126,-1,0.043727981408815834,1,315.130005,-0.15866467555192024,-1,1,-1,-1,0.0,-1.0,0.2771,1.0
776,2017-12-12,330.45,341.44,330.03,341.03,8733200,-3.2016906085026915,-1,0.036848970394953495,1,328.910004,0.4682156156004304,1,1,-1,1,1.0162,1.0,0.0,-1.0
777,2017-12-13,340.93,344.22,336.5,339.03,6221500,0.5572974038690671,1,-0.005864586710449426,-1,341.0299990000001,-0.029324692928262768,-1,-1,1,-1,0.0,0.0,0.029599999999999963,1.0
778,2017-12-14,341.01,347.44,336.9,337.89,5799900,0.9149276878998412,1,-0.0033624871054552807,-1,339.0299990000001,0.5840223596260549,1,-1,1,1,0.0,-1.0,1.7134999999999998,1.0
779,2017-12-15,342.04,343.9,335.76,343.45,6933200,-0.41223335367179736,-1,0.016455049729717564,1,337.890015,1.2282085340698785,1,1,-1,1,0.4588,1.0,-1.7565000000000002,-1.0
780,2017-12-18,344.9,346.73,337.58,338.87,5476200,1.748332590576959,1,-0.013335323453125936,-1,343.450012,0.4221813799208652,1,-1,1,1,0.5719,1.0,0.0,0.0
781,2017-12-19,340.26,341.49,330.3,331.1,6825000,2.6920601101492987,1,-0.022929114747972882,-1,338.869995,0.41019122982546896,1,-1,1,1,0.8803,1.0,0.4926,1.0
782,2017-12-20,332.69,333.1,325.04,328.98,5953800,1.1151495319056814,1,-0.006402884208948079,-1,331.100006,0.4802162401652101,1,-1,1,1,0.3818,1.0,0.4396,1.0
783,2017-12-21,329.59,333.74,327.21,331.66,4385200,-0.6280554704700533,-1,0.008146370327648977,1,328.980011,0.18541704042924198,1,1,-1,1,0.4588,1.0,0.6111000000000002,1.0
784,2017-12-22,329.51,330.92,324.82,325.2,4215800,1.3080021453673003,1,-0.019477754091807853,-1,331.660004,-0.6482524193661869,-1,-1,1,-1,0.0,0.0,0.0,0.0
785,2017-12-26,323.83,323.94,316.58,317.29,4378400,2.019571461119819,1,-0.024323501562478426,-1,325.200012,-0.4212868848233616,-1,-1,1,-1,0.0222,1.0,3.9668,1.0
786,2017-12-27,316.0,317.68,310.75,311.64,4712100,1.3797420886075933,1,-0.01780703406894857,-1,317.290009,-0.4065709487877375,-1,-1,1,-1,0.5328000000000002,1.0,0.0,-1.0
787,2017-12-28,311.75,315.82,309.54,315.36,4316300,-1.1579743384121874,-1,0.011936753372316478,1,311.640015,0.035292322778252554,1,1,-1,1,0.0,0.0,0.0,0.0
788,2017-12-29,316.18,316.41,310.0,311.35,3777200,1.5276067768146282,1,-0.012715560599738107,-1,315.359985,0.2600228434181432,1,-1,1,1,0.0,-1.0,0.0,0.0
789,2018-01-02,312.0,322.11,311.0,320.53,4352200,-2.7339740384615485,-1,0.02948447992000358,1,311.350006,0.2087663361085634,1,1,-1,1,-0.1531,-1.0,0.0,0.0
790,2018-01-03,321.0,325.25,315.55,317.25,4521500,1.1682242990654206,1,-0.010233048420531854,-1,320.5299990000001,0.1466324529580047,1,-1,1,1,-0.1281,-1.0,1.3273,1.0
791,2018-01-04,312.87,318.55,305.68,314.62,9946300,-0.5593377530497929,-1,-0.008290007880220607,-1,317.25,-1.3806162332545258,-1,-1,-1,-1,-0.128,-1.0,0.0,0.0
792,2018-01-05,316.62,317.24,312.0,316.58,4591200,0.012635967605267716,1,0.006229712132568066,1,314.619995,0.6356875061294182,1,1,1,1,0.0,0.0,0.0,-1.0
793,2018-01-08,316.0,337.02,315.5,336.41,9859400,-6.45886202531646,-1,0.0626382519877986,1,316.579987,-0.18320393701956172,-1,1,-1,-1,0.743,1.0,0.3818,1.0
794,2018-01-09,335.16,338.8,327.4,333.69,7146600,0.4385970827235168,1,-0.008085377865278964,-1,336.410004,-0.3715704007423037,-1,-1,1,-1,0.0,-1.0,0.3182,1.0
795,2018-01-10,332.2,337.0,330.0,334.8,4309900,-0.7826537947265245,-1,0.003326398733396907,1,333.690002,-0.4465192217536016,-1,1,-1,-1,0.3818,1.0,0.0,0.0
796,2018-01-11,335.24,344.81,333.26,337.95,6645500,-0.8083826753484982,-1,0.009408674172354026,1,334.799988,0.13142234640701145,1,1,-1,1,0.0,-1.0,0.0,0.0
797,2018-01-12,338.63,340.41,333.67,336.22,4825100,0.7116923971341568,1,-0.005119132826070239,-1,337.950012,0.20121111876154266,1,-1,1,1,0.0,-1.0,0.8705,1.0
798,2018-01-16,337.54,345.0,334.8,340.06,6474300,-0.7465749045470961,-1,0.011421084375048851,1,336.22000099999997,0.3926024615055633,1,1,-1,1,0.0,-1.0,0.0,0.0
799,2018-01-17,340.47,349.0,339.75,347.16,7103500,-1.964931706273896,-1,0.020878686237009392,1,340.059998,0.12056784167832656,1,1,-1,1,0.0,0.0,0.0,0.0
800,2018-01-18,345.67,352.3,343.74,344.57,5685800,0.31822430602333085,1,-0.007460528200708415,-1,347.160004,-0.4291943146768808,-1,-1,1,-1,0.0,0.0,0.0,-1.0
801,2018-01-19,345.0,350.59,342.6,350.02,4888300,-1.4550692753623216,-1,0.015816762600582512,1,344.570007,0.12479118648304885,1,1,-1,1,0.0,-1.0,0.0,0.0
802,2018-01-22,349.4,357.83,349.2,351.56,6210400,-0.6182037885209624,-1,0.00439977443688222,1,350.019989,-0.17713131234914048,-1,1,-1,-1,0.0,0.0,0.0,0.0
803,2018-01-23,360.0,360.5,351.0,352.79,5465400,2.0027752777777783,1,0.0034987228552663123,1,351.559998,2.400728765506476,1,1,1,1,1.9619999999999995,1.0,0.0,0.0
804,2018-01-24,354.58,354.75,343.52,345.89,5287500,2.450779039596505,1,-0.019558359998794628,-1,352.790009,0.5073777471969222,1,-1,1,1,0.7299,1.0,0.128,1.0
805,2018-01-25,348.27,349.2,336.4,337.64,6740300,3.0522222229145344,1,-0.02385151245259276,-1,345.890015,0.6880724787617833,1,-1,1,1,0.1484000000000001,1.0,0.0,0.0
806,2018-01-26,341.5,344.0,335.71,342.85,4539400,-0.395316544655932,-1,0.015430608839417381,1,337.640015,1.1432249817901454,1,1,-1,1,-0.4215,-1.0,0.0,0.0
807,2018-01-29,339.85,350.85,338.28,349.53,4747100,-2.8483133232606224,-1,0.019483718486503543,1,342.850006,-0.8750182142333109,-1,1,-1,-1,0.34,1.0,1.4878999999999998,1.0
808,2018-01-30,345.14,348.27,342.17,345.82,4717700,-0.1970191720597712,-1,-0.010614230568518512,-1,349.52999900000015,-1.2559677316853213,-1,-1,-1,-1,0.2023,1.0,0.0,-1.0
809,2018-01-31,347.51,356.19,345.19,354.31,6214100,-1.9567747127629456,-1,0.024550317587611392,1,345.820007,0.4886943976032153,1,1,-1,1,0.0,0.0,1.9347,1.0
810,2018-02-01,351.0,359.66,348.63,349.25,4197700,0.4985754985754986,1,-0.014281273541707941,-1,354.309998,-0.9342095957450252,-1,-1,1,-1,0.6815,1.0,0.8712999999999999,1.0
