,date,dji_open,dji_high,dji_low,dji_close,dji_vol,dji_perc_change,dji_return,dji_previous_day_return,dji_previous_perc_change
2071,2018-06-20,24771.169922,24804.759766,24628.390625,24657.800781,359520000,-0.4576656708463041,-1,-1.0,-0.25593585743932135
2072,2018-06-21,24639.210938,24639.210938,24406.630859,24461.699219,349570000,-0.7204440087252679,-1,-1.0,-0.4576656708463041
2073,2018-06-22,24526.970703,24663.179688,24526.970703,24580.890625,473970000,0.21983930528120935,1,-1.0,-0.7204440087252679
2074,2018-06-25,24463.730469,24463.730469,24084.390625,24252.800781,439130000,-0.8622139140524087,-1,1.0,0.21983930528120935
2075,2018-06-26,24281.890625,24384.210938,24241.220703,24283.109375,301130000,0.0050191725958324135,1,-1.0,-0.8622139140524087
2076,2018-06-27,24303.109375,24569.019531,24115.820313,24117.589844,313790000,-0.7633571825621664,-1,1.0,0.0050191725958324135
2077,2018-06-28,24064.189453,24308.160156,23997.210938,24216.050781,305020000,0.6310677045516305,1,-1.0,-0.7633571825621664
2078,2018-06-29,24323.929688,24509.519531,24269.710938,24271.410156,329070000,-0.21591713458170575,-1,1.0,0.6310677045516305
2079,2018-07-02,24161.529297,24319.419922,24077.560547,24307.179688,244110000,0.6028194209465201,1,-1.0,-0.21591713458170575
2080,2018-07-03,24359.390625,24444.880859,24150.849609,24174.820313,160960000,-0.757696753754487,-1,1.0,0.6028194209465201
2081,2018-07-05,24285.820313,24372.800781,24177.439453,24356.740234,237670000,0.2920219291997222,1,-1.0,-0.757696753754487
2082,2018-07-06,24352.470703,24520.289063,24281.470703,24456.480469,219450000,0.4271014931851912,1,1.0,0.2920219291997222
2083,2018-07-09,24519.199219,24796.519531,24518.429688,24776.589844,240580000,1.0497513507722849,1,1.0,0.4271014931851912
2084,2018-07-10,24806.970703,24945.380859,24806.970703,24919.660156,235040000,0.45426527224613816,1,1.0,1.0497513507722849
2085,2018-07-11,24789.480469,24815.160156,24663.820313,24700.449219,237370000,-0.35914931783800913,-1,1.0,0.45426527224613816
