,date,tsla_intra_target,tsla_sentiment,em_tweets3_sentiment,dax_return,cac_return,dji_previous_day_return,MA5,MA10,MA20,MA50,change,volatility,tsla_intra_target_lag1,tsla_sentiment_lag1,em_tweets3_sentiment_lag1,dax_return_lag1,cac_return_lag1,dji_previous_day_return_lag1,MA5_lag1,MA10_lag1,MA20_lag1,MA50_lag1,change_lag1,volatity_lag1,tsla_intra_target_lag2,tsla_sentiment_lag2,em_tweets3_sentiment_lag2,dax_return_lag2,cac_return_lag2,dji_previous_day_return_lag2,MA5_lag2,MA10_lag2,MA20_lag2,MA50_lag2,change_lag2,volatity_lag2,tsla_intra_target_lag3,tsla_sentiment_lag3,em_tweets3_sentiment_lag3,dax_return_lag3,cac_return_lag3,dji_previous_day_return_lag3,MA5_lag3,MA10_lag3,MA20_lag3,MA50_lag3,change_lag3,volatity_lag3
1449,2016-04-04,1.0,-1.0,1.0,1.0,1.0,1.0,239.34200100000004,240.7470029999998,240.7965033,230.06580069999995,0.03880138799720738,0.0224670274877949,1.0,-1.0,0.0,0.0,0.0,1.0,228.99200140000008,229.90600269999973,231.49150149999986,224.43240101999993,0.010960547390866987,0.024196450057946187,0.0,1.0,1.0,-1.0,-1.0,1.0,230.92799980000007,234.16700119999985,237.49050274999993,228.50820089999993,0.012613511869698993,0.023490139822579758,1.0,0.0,1.0,1.0,1.0,1.0,228.9600006000001,232.45200179999972,235.85700209999993,227.41660085999993,-0.01417907423753861,0.022936048927771284
1450,2016-04-05,0.0,1.0,-1.0,-1.0,-1.0,-1.0,247.0480038,242.97900369999982,242.2030028,230.61580069999997,0.03375711961229325,0.02248317302221405,0.0,1.0,1.0,-1.0,1.0,1.0,227.52200020000006,231.02700179999982,233.73600219999992,225.91220083999988,-0.0005646951647704267,0.02286634430170784,1.0,1.0,1.0,-1.0,-1.0,-1.0,234.27400180000004,237.28500199999982,239.30000289999992,229.41520071999992,0.03346765622664659,0.021873115805051968,0.0,1.0,1.0,-1.0,-1.0,1.0,230.92799980000007,234.16700119999985,237.49050274999993,228.50820089999993,0.012613511869698993,0.023490139822579758
1451,2016-04-06,0.0,-1.0,-1.0,1.0,1.0,-1.0,252.5340054,244.94500399999973,243.2600028,230.9874007399999,0.038208536153606976,0.022778641288206516,1.0,0.0,1.0,1.0,1.0,1.0,228.9600006000001,232.45200179999972,235.85700209999993,227.41660085999993,-0.01417907423753861,0.022936048927771284,1.0,-1.0,1.0,1.0,1.0,1.0,239.34200100000004,240.7470029999998,240.7965033,230.06580069999995,0.03880138799720738,0.0224670274877949,1.0,1.0,1.0,-1.0,-1.0,-1.0,234.27400180000004,237.28500199999982,239.30000289999992,229.41520071999992,0.03346765622664659,0.021873115805051968
1452,2016-04-07,1.0,-1.0,-1.0,-1.0,-1.0,1.0,255.03000760000003,246.71400419999972,243.7125022,231.32260091999993,-0.03145948696831675,0.023442309872757902,0.0,1.0,1.0,-1.0,-1.0,1.0,230.92799980000007,234.16700119999985,237.49050274999993,228.50820089999993,0.012613511869698993,0.023490139822579758,0.0,1.0,-1.0,-1.0,-1.0,-1.0,247.0480038,242.97900369999982,242.2030028,230.61580069999997,0.03375711961229325,0.02248317302221405,1.0,-1.0,1.0,1.0,1.0,1.0,239.34200100000004,240.7470029999998,240.7965033,230.06580069999995,0.03880138799720738,0.0224670274877949
1453,2016-04-08,1.0,0.0,1.0,1.0,1.0,-1.0,255.61600620000007,249.47800419999973,244.499002,231.77480093999984,-0.028113132358037928,0.02473625382795297,1.0,1.0,1.0,-1.0,-1.0,-1.0,234.27400180000004,237.28500199999982,239.30000289999992,229.41520071999992,0.03346765622664659,0.021873115805051968,0.0,-1.0,-1.0,1.0,1.0,-1.0,252.5340054,244.94500399999973,243.2600028,230.9874007399999,0.038208536153606976,0.022778641288206516,0.0,1.0,-1.0,-1.0,-1.0,-1.0,247.0480038,242.97900369999982,242.2030028,230.61580069999997,0.03375711961229325,0.02248317302221405
1454,2016-04-11,1.0,-1.0,1.0,1.0,1.0,1.0,254.08600740000008,251.68700389999972,245.78450155,232.1536009999999,-0.0006000480129636787,0.02578570803652588,1.0,-1.0,1.0,1.0,1.0,1.0,239.34200100000004,240.7470029999998,240.7965033,230.06580069999995,0.03880138799720738,0.0224670274877949,1.0,-1.0,-1.0,-1.0,-1.0,1.0,255.03000760000003,246.71400419999972,243.7125022,231.32260091999993,-0.03145948696831675,0.023442309872757902,0.0,-1.0,-1.0,1.0,1.0,-1.0,252.5340054,244.94500399999973,243.2600028,230.9874007399999,0.038208536153606976,0.022778641288206516
1455,2016-04-12,1.0,1.0,0.0,1.0,1.0,-1.0,251.9080046000001,253.37900379999974,247.08450155,232.3910009199999,-0.008438154214106146,0.0252078262918028,0.0,1.0,-1.0,-1.0,-1.0,-1.0,247.0480038,242.97900369999982,242.2030028,230.61580069999997,0.03375711961229325,0.02248317302221405,1.0,0.0,1.0,1.0,1.0,-1.0,255.61600620000007,249.47800419999973,244.499002,231.77480093999984,-0.028113132358037928,0.02473625382795297,1.0,-1.0,-1.0,-1.0,-1.0,1.0,255.03000760000003,246.71400419999972,243.7125022,231.32260091999993,-0.03145948696831675,0.023442309872757902
1456,2016-04-13,0.0,1.0,0.0,1.0,1.0,1.0,250.84000240000012,254.06800379999973,248.16250215,232.53600091999985,0.026715998872559592,0.025499773475074414,0.0,-1.0,-1.0,1.0,1.0,-1.0,252.5340054,244.94500399999973,243.2600028,230.9874007399999,0.038208536153606976,0.022778641288206516,1.0,-1.0,1.0,1.0,1.0,1.0,254.08600740000008,251.68700389999972,245.78450155,232.1536009999999,-0.0006000480129636787,0.02578570803652588,1.0,0.0,1.0,1.0,1.0,-1.0,255.61600620000007,249.47800419999973,244.499002,231.77480093999984,-0.028113132358037928,0.02473625382795297
1457,2016-04-14,1.0,-1.0,1.0,1.0,1.0,1.0,251.72800000000012,253.2580031999997,249.34300215,232.52340113999983,-0.010545321759053738,0.025063867288169617,1.0,-1.0,-1.0,-1.0,-1.0,1.0,255.03000760000003,246.71400419999972,243.7125022,231.32260091999993,-0.03145948696831675,0.023442309872757902,1.0,1.0,0.0,1.0,1.0,-1.0,251.9080046000001,253.37900379999974,247.08450155,232.3910009199999,-0.008438154214106146,0.0252078262918028,1.0,-1.0,1.0,1.0,1.0,1.0,254.08600740000008,251.68700389999972,245.78450155,232.1536009999999,-0.0006000480129636787,0.02578570803652588
1458,2016-04-15,0.0,0.0,0.0,-1.0,-1.0,1.0,252.52000140000013,251.71300199999973,250.57200225,232.69480097999985,0.010466726755729513,0.025330371101250432,1.0,0.0,1.0,1.0,1.0,-1.0,255.61600620000007,249.47800419999973,244.499002,231.77480093999984,-0.028113132358037928,0.02473625382795297,0.0,1.0,0.0,1.0,1.0,1.0,250.84000240000012,254.06800379999973,248.16250215,232.53600091999985,0.026715998872559592,0.025499773475074414,1.0,1.0,0.0,1.0,1.0,-1.0,251.9080046000001,253.37900379999974,247.08450155,232.3910009199999,-0.008438154214106146,0.0252078262918028
